,count,unique,top,freq,2nd Mode,2nd Mode freq,Miss%
race,99493,5,Caucasian,76099,AfricanAmerican,19210,2.2335554114340743
gender,101766,3,Female,54708,Male,47055,0.0
age,101766,10,[70-80),26068,[60-70),22483,0.0
weight,3197,9,[75-100),1336,[50-75),897,96.85847925633315
payer_code,61510,17,MC,32439,HM,6274,39.5574160328597
medical_specialty,51817,72,InternalMedicine,14635,Emergency/Trauma,7565,49.08220820313268
diag_1,101745,716,428,6862,414,6581,0.02063557573256294
diag_2,101408,748,276,6752,428,6662,0.3517874339170253
diag_3,100343,789,250,11555,401,8289,1.398305917497003
max_glu_serum,5346,3,Norm,2597,>200,1485,94.74677200636755
A1Cresult,17018,3,>8,8216,Norm,4990,83.27732248491637
metformin,101766,4,No,81778,Steady,18346,0.0
repaglinide,101766,4,No,100227,Steady,1384,0.0
nateglinide,101766,4,No,101063,Steady,668,0.0
chlorpropamide,101766,4,No,101680,Steady,79,0.0
glimepiride,101766,4,No,96575,Steady,4670,0.0
acetohexamide,101766,2,No,101765,Steady,1,0.0
glipizide,101766,4,No,89080,Steady,11356,0.0
glyburide,101766,4,No,91116,Steady,9274,0.0
tolbutamide,101766,2,No,101743,Steady,23,0.0
pioglitazone,101766,4,No,94438,Steady,6976,0.0
rosiglitazone,101766,4,No,95401,Steady,6100,0.0
acarbose,101766,4,No,101458,Steady,295,0.0
miglitol,101766,4,No,101728,Steady,31,0.0
troglitazone,101766,2,No,101763,Steady,3,0.0
tolazamide,101766,3,No,101727,Steady,38,0.0
examide,101766,1,No,101766,0,0,0.0
citoglipton,101766,1,No,101766,0,0,0.0
insulin,101766,4,No,47383,Steady,30849,0.0
glyburide-metformin,101766,4,No,101060,Steady,692,0.0
glipizide-metformin,101766,2,No,101753,Steady,13,0.0
glimepiride-pioglitazone,101766,2,No,101765,Steady,1,0.0
metformin-rosiglitazone,101766,2,No,101764,Steady,2,0.0
metformin-pioglitazone,101766,2,No,101765,Steady,1,0.0
change,101766,2,No,54755,Ch,47011,0.0
diabetesMed,101766,2,Yes,78363,No,23403,0.0
